sepalLength	sepalWidth	petalLength	petalWidth	species
3	3.0	234293	812755	8
4	4.0	324786	1183427	8
4	3.0	206345	680196	8
4	0.0	461118	7003	8
4	7.0	6095	43259	8
4	10.0	10162	100425	8
4	8.0	18622	157969	3
3	4.0	199980	776916	3
3	3.0	92570	320748	3
4	3.0	175961	545015	3
3	0.0	93150	25826	11
4	5.0	132929	636181	3
4	4.0	333461	1207661	3
2	5.0	255700	1232862	3
4	90.0	31373	2822286	11
4	20.0	98566	2009915	11
5	6.0	220669	1341967	3
4	4.0	51959	222521	3
4	5.0	167053	772697	3
4	17.0	73983	1257229	2
4	7.0	61331	406081	1
4	6.0	134396	793406	1
4	5.0	65271	357966	1
4	9.0	10859	99428	1
4	7.0	6466	45197	1
3	10.0	7555	78896	1
2	7.0	15836	110940	1
2	1.0	9723	13086	1
2	449.0	1	449	1
4	7.0	19194	128080	10
5	7.0	150913	1026773	10
4	4.0	236628	1031335	10
4	3.0	107921	370207	10
4	5.0	52984	245002	10
4	3.0	183908	482915	10
4	4.0	343582	1415461	10
4	4.0	235792	897994	10
2	5.0	79085	366734	10
4	6.0	20508	128691	10
4	5.0	710279	3501485	10
4	4.0	557077	2360884	10
2	9.0	57796	526769	10
2	24.0	30418	737990	10
3	0.0	71474	33993	10
2	0.0	16420	1052	10
4	36.0	2420	87796	10
1	12.0	4225	51976	10
2	15.0	3737	55354	10
4	5.0	100748	475541	10
4	1.0	172341	105028	10
4	1.0	170932	245452	10
4	3.0	201065	624116	10
4	4.0	413214	1508083	10
4	4.0	191600	746441	10
5	9.0	26810	230970	5
4	5.0	427773	2113821	5
2	10.0	6228	60874	5
2	9.0	5072	47060	5
4	6.0	68498	384747	5
3	4.0	37619	166239	3
4	4.0	30604	120624	3
5	3.0	84000	271337	3
3	4.0	138154	569466	3
4	4.0	64824	272945	3
4	6.0	40132	237181	3
4	4.0	64462	262729	3
5	5.0	319651	1640464	3
4	5.0	160415	797183	3
5	4.0	79971	351254	3
4	6.0	151187	853126	3
5	5.0	53416	275221	3
4	4.0	57605	217644	8
3	6.0	29919	182685	8
4	4.0	207777	860757	8
4	5.0	120114	568056	8
